from,to,type,weight@double
18,138,LINK,0.52
18,141,LINK,0.42
18,145,LINK,0.66
18,215,LINK,0.21
18,311,LINK,0.27
18,313,LINK,0.89
18,327,LINK,0.33
20,42,LINK,0.61
20,90,LINK,0.16
20,113,LINK,0.39
20,116,LINK,0
20,139,LINK,0.93
20,175,LINK,0.56
20,176,LINK,0.13
20,215,LINK,0.12
20,228,LINK,0.02
20,290,LINK,0.78
20,294,LINK,0.21
20,313,LINK,0.8
20,320,LINK,0.4
20,344,LINK,0.44
21,42,LINK,0.85
21,45,LINK,0.82
21,112,LINK,0.03
21,116,LINK,0.83
21,150,LINK,0.85
21,163,LINK,0.39
21,215,LINK,0.41
21,227,LINK,0.86
21,313,LINK,0.68
21,327,LINK,0.85
21,334,LINK,0.83
21,344,LINK,0.48
22,26,LINK,0.62
22,27,LINK,0.77
22,32,LINK,0.81
22,40,LINK,0.39
22,41,LINK,0.35
22,56,LINK,0.46
22,57,LINK,0.49
22,67,LINK,0.15
22,68,LINK,0.51
22,89,LINK,0.91
22,99,LINK,0.95
22,105,LINK,0.9
22,106,LINK,0.18
22,109,LINK,0.34
22,110,LINK,0.34
22,120,LINK,0.15
22,122,LINK,0.8
22,123,LINK,0.91
22,124,LINK,0.88
22,128,LINK,0.21
22,135,LINK,0.13
22,137,LINK,0.11
22,143,LINK,0.84
22,160,LINK,0.27
22,162,LINK,0.11
22,166,LINK,0.11
22,170,LINK,0.66
22,171,LINK,0.41
22,185,LINK,0.7
22,187,LINK,0.92
22,189,LINK,0.7
22,198,LINK,0.83
22,201,LINK,0.28
22,204,LINK,0.58
22,213,LINK,0.23
22,224,LINK,0.73
22,233,LINK,0.2
22,236,LINK,0.66
22,237,LINK,0.45
22,240,LINK,0.39
22,249,LINK,0.83
22,252,LINK,0.43
22,253,LINK,0.63
22,272,LINK,0.16
22,273,LINK,0.39
22,275,LINK,0.41
22,278,LINK,0.76
22,281,LINK,0.38
22,282,LINK,0.91
22,285,LINK,0.95
22,298,LINK,0.52
22,305,LINK,0.19
22,309,LINK,0.32
22,314,LINK,0.23
22,316,LINK,0.33
22,323,LINK,0.09
22,324,LINK,0.98
22,326,LINK,0.57
22,333,LINK,0.35
22,335,LINK,0.32
22,343,LINK,0.85
22,346,LINK,0.4
23,88,LINK,0.83
23,159,LINK,0.97
23,169,LINK,0.51
23,186,LINK,0.03
23,278,LINK,0.55
23,309,LINK,0.32
23,325,LINK,0.38
23,340,LINK,0.68
23,348,LINK,0.64
24,52,LINK,0.14
24,62,LINK,0.67
24,84,LINK,0.38
24,100,LINK,0.63
24,117,LINK,0.32
24,125,LINK,0.56
24,145,LINK,0.25
24,156,LINK,1
24,176,LINK,0.41
24,191,LINK,0.6
24,228,LINK,0.57
24,231,LINK,0.09
24,238,LINK,0.22
24,241,LINK,0.07
24,246,LINK,0.25
24,268,LINK,0
25,54,LINK,0.42
25,58,LINK,0.81
25,81,LINK,0.87
25,93,LINK,0.46
25,95,LINK,0.96
25,102,LINK,0.86
25,181,LINK,0.34
25,188,LINK,0.59
25,195,LINK,0.64
25,243,LINK,0.84
25,250,LINK,0.27
25,267,LINK,0.94
25,300,LINK,0.7
25,303,LINK,0.25
25,347,LINK,0.47
26,27,LINK,0.21
26,32,LINK,0.21
26,40,LINK,0.1
26,41,LINK,0.71
26,52,LINK,0.38
26,57,LINK,0.03
26,66,LINK,0.93
26,68,LINK,0.89
26,70,LINK,0.21
26,73,LINK,0.05
26,74,LINK,0.65
26,77,LINK,0.75
26,80,LINK,0.67
26,84,LINK,0.46
26,85,LINK,0.7
26,89,LINK,0.09
26,95,LINK,0.74
26,99,LINK,0.57
26,104,LINK,0.32
26,105,LINK,0.89
26,106,LINK,0.75
26,114,LINK,0.18
26,120,LINK,0.38
26,123,LINK,0.1
26,131,LINK,0.91
26,142,LINK,0.01
26,149,LINK,0.4
26,159,LINK,0.94
26,170,LINK,0.66
26,171,LINK,0.63
26,177,LINK,0.57
26,186,LINK,0.49
26,187,LINK,0.59
26,189,LINK,0.2
26,200,LINK,0.68
26,201,LINK,0.87
26,204,LINK,0.6
26,222,LINK,0.32
26,225,LINK,0.76
26,232,LINK,0.89
26,233,LINK,0.86
26,237,LINK,0.2
26,238,LINK,0.87
26,240,LINK,0.19
26,247,LINK,0.75
26,253,LINK,0.21
26,258,LINK,0.22
26,271,LINK,0.93
26,272,LINK,0.1
26,273,LINK,0.31
26,277,LINK,0.43
26,278,LINK,0.8
26,281,LINK,0.34
26,284,LINK,0.21
26,286,LINK,0.71
26,289,LINK,0.86
26,291,LINK,0.27
26,292,LINK,0.14
26,298,LINK,0.32
26,323,LINK,0.74
26,324,LINK,0.24
26,326,LINK,0.93
26,332,LINK,0.73
26,333,LINK,0.31
26,337,LINK,0.92
27,41,LINK,0.96
27,56,LINK,0.47
27,57,LINK,0.38
27,63,LINK,0.04
27,67,LINK,0.63
27,68,LINK,0.08
27,70,LINK,0.96
27,73,LINK,0.75
27,80,LINK,0.47
27,99,LINK,0.69
27,105,LINK,0.01
27,110,LINK,0.5
27,114,LINK,0.91
27,119,LINK,0.76
27,120,LINK,0.91
27,123,LINK,1
27,124,LINK,0.49
27,129,LINK,0.38
27,134,LINK,0.72
27,135,LINK,0.62
27,142,LINK,0.74
27,143,LINK,0.62
27,159,LINK,0.33
27,162,LINK,0.87
27,170,LINK,0.57
27,171,LINK,0.5
27,173,LINK,0.18
27,177,LINK,0.91
27,186,LINK,0.75
27,187,LINK,0.2
27,189,LINK,0.43
27,200,LINK,0.81
27,201,LINK,0.31
27,204,LINK,0.28
27,213,LINK,0.74
27,224,LINK,0.54
27,225,LINK,0
27,233,LINK,0.71
27,237,LINK,0.84
27,240,LINK,0.29
27,249,LINK,0.84
27,253,LINK,0.92
27,258,LINK,0.64
27,266,LINK,0.41
27,272,LINK,0.5
27,277,LINK,0.08
27,278,LINK,0.13
27,281,LINK,0.5
27,286,LINK,0.87
27,292,LINK,0.17
27,296,LINK,0.74
27,298,LINK,0.42
27,299,LINK,0.3
27,305,LINK,0.57
27,309,LINK,0.82
27,314,LINK,1
27,316,LINK,0.27
27,323,LINK,0.46
27,324,LINK,0.67
27,326,LINK,0.36
27,333,LINK,0.97
27,335,LINK,0.27
28,55,LINK,0.31
28,120,LINK,0.32
28,325,LINK,0.98
28,330,LINK,0.16
29,42,LINK,0.44
29,116,LINK,0.23
29,117,LINK,0.62
29,141,LINK,0.58
29,145,LINK,0.46
29,150,LINK,0.09
29,152,LINK,0.77
29,227,LINK,0.86
29,311,LINK,0.02
29,313,LINK,0.07
29,327,LINK,0.96
30,41,LINK,0.48
30,83,LINK,0.77
30,107,LINK,0.97
30,119,LINK,0.22
30,173,LINK,0.1
30,204,LINK,0.15
30,212,LINK,0.35
30,232,LINK,0.91
30,248,LINK,0.09
30,253,LINK,0.45
30,339,LINK,0.75
31,49,LINK,0.76
31,57,LINK,0.6
31,74,LINK,0.75
31,179,LINK,0.62
31,189,LINK,0.86
31,201,LINK,0.02
31,214,LINK,0.73
31,225,LINK,0.22
31,237,LINK,0.84
31,272,LINK,0.14
31,304,LINK,0.43
31,305,LINK,0.13
31,323,LINK,0.54
31,330,LINK,0.26
31,332,LINK,0.28
32,52,LINK,0.72
32,68,LINK,0.46
32,84,LINK,0.61
32,85,LINK,0.96
32,110,LINK,0.3
32,123,LINK,0.09
32,130,LINK,0.86
32,143,LINK,0.61
32,169,LINK,0.44
32,201,LINK,0.63
32,238,LINK,0.7
32,253,LINK,0.91
32,278,LINK,0.47
32,281,LINK,0.9
32,292,LINK,0.47
32,305,LINK,0.71
32,309,LINK,0.94
32,339,LINK,0.52
32,340,LINK,0.59
33,94,LINK,0.69
33,138,LINK,0.35
33,168,LINK,0.02
33,311,LINK,0.5
33,338,LINK,0.36
34,43,LINK,0.44
35,174,LINK,0.35
35,349,LINK,0.29
35,415,LINK,0.61
35,429,LINK,0.83
36,144,LINK,0.64
37,109,LINK,0.71
37,128,LINK,0.96
37,136,LINK,0.77
37,185,LINK,0.33
37,198,LINK,0.58
37,252,LINK,0.84
37,282,LINK,0.41
37,285,LINK,0.62
37,310,LINK,0.08
37,321,LINK,0.66
39,118,LINK,0.18
39,142,LINK,0.12
39,179,LINK,0.85
39,249,LINK,0.37
39,323,LINK,0.2
39,333,LINK,0.04
39,340,LINK,0.59
40,70,LINK,0.14
40,106,LINK,0.27
40,120,LINK,0.64
40,122,LINK,0.08
40,142,LINK,0.23
40,162,LINK,0.2
40,166,LINK,0.61
40,201,LINK,0.27
40,258,LINK,0.57
40,278,LINK,0.81
40,281,LINK,0.3
40,314,LINK,0.89
41,57,LINK,0.77
41,68,LINK,0.58
41,73,LINK,0.95
41,78,LINK,0.32
41,114,LINK,0.24
41,133,LINK,0.16
41,134,LINK,0.86
41,142,LINK,0.39
41,143,LINK,0.56
41,159,LINK,0.87
41,170,LINK,0.44
41,173,LINK,0.53
41,200,LINK,0.14
41,201,LINK,0.59
41,204,LINK,0.45
41,213,LINK,0.14
41,214,LINK,0.25
41,225,LINK,0.42
41,232,LINK,0.95
41,233,LINK,0.19
41,240,LINK,0.44
41,258,LINK,0.77
41,259,LINK,0.7
41,266,LINK,0.63
41,272,LINK,0.66
41,273,LINK,0.62
41,275,LINK,0.68
41,278,LINK,0.05
41,281,LINK,0.48
41,299,LINK,0.09
41,305,LINK,0.72
41,308,LINK,1
41,316,LINK,0.64
41,318,LINK,0.52
41,323,LINK,0.07
41,326,LINK,0.22
41,330,LINK,0.04
41,333,LINK,0.68
41,335,LINK,0.54
42,45,LINK,0.86
42,94,LINK,0.61
42,112,LINK,0.05
42,116,LINK,0.24
42,117,LINK,0.02
42,138,LINK,0.7
42,141,LINK,0.31
42,145,LINK,0.26
42,152,LINK,0.51
42,215,LINK,0.88
42,227,LINK,0.9
42,231,LINK,0.66
42,244,LINK,0.17
42,311,LINK,0.64
42,313,LINK,0.43
42,327,LINK,0.97
42,338,LINK,0.91
42,344,LINK,0.07
45,112,LINK,0.71
45,313,LINK,0.97
45,344,LINK,0.73
46,68,LINK,0.35
46,105,LINK,0.14
46,123,LINK,0.15
46,133,LINK,0.16
46,143,LINK,0.25
46,187,LINK,0.19
46,201,LINK,0.93
46,222,LINK,0.78
46,304,LINK,0.9
46,323,LINK,0.79
46,346,LINK,0.21
47,144,LINK,0.36
47,176,LINK,0.57
47,178,LINK,0.35
47,279,LINK,0.23
48,302,LINK,0.84
49,54,LINK,0.8
49,55,LINK,0.57
49,58,LINK,0.34
49,74,LINK,0.13
49,81,LINK,0.66
49,89,LINK,0.91
49,120,LINK,0.52
49,127,LINK,0.32
49,131,LINK,0.65
49,181,LINK,0.18
49,200,LINK,0.73
49,204,LINK,0.14
49,272,LINK,0.94
49,300,LINK,0.48
49,303,LINK,0.73
49,321,LINK,0.58
49,323,LINK,0.05
49,331,LINK,0.44
49,333,LINK,0.06
50,193,LINK,0.43
50,242,LINK,0.56
50,256,LINK,0.32
51,110,LINK,0.82
51,114,LINK,0.42
51,120,LINK,0.55
51,147,LINK,0.65
51,149,LINK,0.57
51,204,LINK,0.36
51,278,LINK,0.75
51,315,LINK,0.53
51,332,LINK,0.29
51,335,LINK,0.11
52,84,LINK,0.47
52,85,LINK,0.8
52,238,LINK,0.26
53,193,LINK,0.49
54,55,LINK,0.81
54,89,LINK,0.14
54,93,LINK,0.29
54,95,LINK,0.19
54,102,LINK,0.02
54,131,LINK,1
54,147,LINK,0.01
54,181,LINK,0.75
54,192,LINK,0.88
54,195,LINK,0.33
54,197,LINK,0.99
54,205,LINK,0.72
54,214,LINK,0.99
54,243,LINK,0.83
54,249,LINK,0.57
54,250,LINK,0.61
54,255,LINK,0.27
54,261,LINK,0.83
54,267,LINK,0.57
54,300,LINK,0.62
54,303,LINK,0.85
54,316,LINK,0.44
54,318,LINK,0.92
54,323,LINK,0.25
54,331,LINK,0.09
54,333,LINK,0.26
54,347,LINK,0.19
55,120,LINK,0.36
55,314,LINK,0.23
55,330,LINK,0.48
56,57,LINK,0.21
56,68,LINK,0.83
56,105,LINK,0.32
56,123,LINK,0.8
56,124,LINK,0.53
56,171,LINK,0.26
56,186,LINK,0.96
56,187,LINK,0.4
56,201,LINK,0.41
56,204,LINK,0.34
56,240,LINK,0.71
56,253,LINK,0.67
56,262,LINK,0.92
56,278,LINK,0.84
57,60,LINK,0.1
57,61,LINK,0.5
57,63,LINK,0.44
57,64,LINK,0.76
57,67,LINK,0.98
57,68,LINK,0.11
57,73,LINK,0.11
57,76,LINK,0.2
57,83,LINK,0.9
57,89,LINK,0.9
57,99,LINK,0.2
57,104,LINK,0.41
57,105,LINK,0.33
57,110,LINK,0.97
57,114,LINK,0.18
57,119,LINK,0.43
57,120,LINK,0.29
57,123,LINK,0.3
57,129,LINK,0.03
57,133,LINK,0.74
57,135,LINK,0.19
57,137,LINK,0.09
57,142,LINK,0.2
57,143,LINK,0.35
57,162,LINK,0.54
57,170,LINK,0.05
57,171,LINK,0.29
57,173,LINK,0.9
57,186,LINK,0.7
57,187,LINK,0.96
57,189,LINK,0.56
57,200,LINK,0.17
57,201,LINK,0.22
57,204,LINK,0.18
57,208,LINK,0.23
57,212,LINK,0.95
57,213,LINK,0.49
57,214,LINK,0.52
57,222,LINK,0.17
57,223,LINK,0.9
57,224,LINK,0.4
57,232,LINK,0.13
57,233,LINK,0.31
57,239,LINK,0.51
57,240,LINK,0.46
57,253,LINK,0.92
57,262,LINK,0.81
57,266,LINK,0.51
57,272,LINK,0.97
57,273,LINK,0.43
57,277,LINK,0.65
57,278,LINK,1
57,286,LINK,0.92
57,291,LINK,0.73
57,292,LINK,0.54
57,298,LINK,0.26
57,299,LINK,0.26
57,304,LINK,0.74
57,305,LINK,0.19
57,314,LINK,0.16
57,316,LINK,0.19
57,323,LINK,0.87
57,324,LINK,0.74
57,326,LINK,0.69
57,332,LINK,0.61
57,333,LINK,0.69
57,335,LINK,0.82
57,342,LINK,0.26
57,343,LINK,0.4
58,81,LINK,0.17
58,93,LINK,0.27
58,109,LINK,0.08
58,185,LINK,0.35
58,205,LINK,0.63
58,214,LINK,0.57
58,243,LINK,0.06
58,250,LINK,0.32
58,278,LINK,0.55
58,303,LINK,0.98
58,321,LINK,0.48
58,347,LINK,0.45
59,108,LINK,0.24
59,172,LINK,0.57
59,270,LINK,0.78
59,1685,LINK,0.22
59,1913,LINK,0.97
59,2815,LINK,0.19
