start,end
2539,636
3815,2578
3549,1592
3450,220
376,1290
1153,4006
2160,1092
3170,2841
2642,3652
2151,173
3888,3044
1827,2520
2690,1123
3592,3464
3126,3632
980,3835
726,2549
2258,951
2190,1960
1233,3727
3345,2897
3602,2609
1204,3681
3301,1912
3802,3953
2101,1248
3724,458
667,1000
3090,3528
222,479
2264,1952
2849,2134
2795,765
885,1953
1117,288
2628,2944
1812,1751
240,1224
581,2892
395,1158
2392,2302
3299,63
727,2053
573,2677
1946,2394
408,374
460,2208
1423,2409
1789,622
3892,122
3892,3036
1557,1894
3385,3236
3902,235
3071,1171
2644,3644
1922,3211
923,2132
49,2469
2053,3564
727,880
1295,1215
2231,3804
2915,3561
1886,1595
2300,2111
322,1606
421,886
3644,2653
2794,60
1455,176
3726,2170
1941,3625
22,3576
1503,2573
794,1727
1793,2566
598,3132
942,2853
717,2148
3725,3532
532,1268
214,3944
1619,781
3965,1112
2655,3702
3908,2285
1148,2963
3002,2984
1856,3557
2893,3795
836,1245
3611,3016
1228,494
724,2430
2104,2994
383,3401
345,2728
1921,670
2416,891
3499,165
3132,1589
3517,3578
903,552
1437,3627
2796,1108
1671,3369
3896,3255
1048,3419
1352,2130
3613,1245
1148,2576
2259,1203
635,3763
1403,2724
151,637
582,1782
1725,1529
371,885
1993,3867
882,2649
218,2452
2462,432
1616,2370
2478,3957
1899,3289
3840,968
2503,3264
2040,1691
2016,541
1175,114
10,2566
869,2199
2423,94
3895,1098
1477,3690
1404,1744
828,3769
1534,1140
3130,97
305,1691
1943,1846
3981,551
2646,2110
1751,1883
601,3863
3865,3259
3775,695
2333,2628
3819,57
3118,3937
3260,31
62,169
3676,2291
2033,430
3914,2609
1251,3727
2787,3600
359,2398
1590,2406
2323,1337
3013,1351
1277,470
2079,1147
1228,2674
3522,1909
118,722
1640,3310
1687,441
2934,7
1359,168
3297,2127
811,3169
2059,2601
214,3917
587,104
2609,2239
3079,478
2621,2205
3264,3200
3177,3572
2206,3876
1210,3019
3831,2799
2830,1749
2859,2364
126,99
2945,454
1104,505
1723,3344
3125,2238
3081,3685
2280,1699
3,1460
3262,2187
1799,548
962,215
370,353
2674,163
715,2859
2964,1522
1066,83
1994,1345
427,2638
2812,3688
1403,1725
4026,2223
1759,77
2883,2414
562,3572
759,1223
2876,317
554,3827
2672,3308
2538,3653
3624,2273
1066,3958
2487,41
291,874
1470,1816
986,2518
3901,2835
3603,1
149,1702
173,271
3630,3384
318,1878
652,3065
1921,3749
2303,2316
1781,1607
2464,373
749,1932
1446,2325
2729,3646
1967,2191
3822,1276
1010,3403
2633,3063
2834,3366
618,2602
3331,2896
1944,819
2142,2958
1605,1407
1771,3965
304,3275
1873,646
3690,24
3418,1632
2816,3681
3256,655
3630,3286
2029,3368
1414,1803
7,496
3786,452
783,3856
2616,2095
2918,3060
1572,3397
1274,2533
3945,662
1060,3833
52,1279
3584,110
549,1126
3831,2741
3914,938
2021,2481
1740,2552
858,2160
2472,3730
1531,585
2127,304
2920,794
2375,3503
1113,1064
758,486
3579,1849
1442,583
2820,689
1999,1652
113,3465
3369,3025
1623,1176
3782,3312
2245,958
1690,2650
2255,3006
3175,2492
490,1397
3319,2722
2353,3727
3438,1887
3774,899
340,2953
879,1919
1751,254
2229,2267
248,2122
263,289
3876,20
3819,3454
2559,3310
1969,1048
3214,1344
2378,1017
2487,736
1484,3316
3674,1670
1679,36
1083,684
904,3570
2682,2447
1938,2538
3896,176
2082,3841
3140,3586
1651,1910
246,3993
2823,327
3881,1133
120,2231
1834,3829
3246,3595
3970,863
94,2061
1721,2624
2917,847
2808,874
4037,2847
4029,1944
3379,3391
1674,1598
3324,2914
368,2406
3212,2414
2394,2680
1385,3708
1503,3183
1849,805
1538,1676
2092,1447
2924,2780
998,799
347,3906
3630,1071
390,1930
613,590
1262,316
1194,1272
2902,4007
3238,2738
1943,133
176,1322
3361,3727
1077,3332
3931,638
767,3471
3356,11
2194,751
366,2293
422,990
2769,1469
3003,3615
2465,2724
3555,2446
3141,2113
1607,1132
407,6
3832,287
3227,3172
3905,982
1330,4011
2007,1460
3810,4033
2113,2758
1602,1740
1870,3321
1957,3719
3226,1931
514,3900
162,1500
2621,1137
3193,2302
3989,3509
2413,866
1997,1927
2944,3937
113,1775
3662,148
1810,3632
3387,3344
2893,2286
1163,2756
3412,1766
871,3462
2018,2892
351,1707
3365,664
638,146
1178,100
870,2003
338,2335
3844,3516
2353,2666
2085,1377
1505,3233
3762,2296
3262,3080
2158,1024
1735,3344
1977,2448
388,1491
2226,2537
3659,337
3816,3405
4008,635
634,1421
2614,3330
3350,529
1670,3345
877,336
617,2985
3678,3346
878,1109
2473,1930
2276,232
439,61
2865,2163
1618,1752
1332,2531
3704,3917
761,571
1096,1294
3322,1154
1905,3256
3907,514
1578,3338
588,3993
1039,1876
3684,947
2160,2725
2453,3142
3936,2107
751,264
1334,2069
514,600
362,142
2804,3696
423,2843
1889,3077
3809,3146
2571,2685
3792,3767
1613,1106
896,1825
3536,686
3188,1160
529,3449
1999,1571
1268,1563
3181,3912
119,49
972,3903
1479,1873
71,148
3274,1669
998,2694
2341,3000
3186,2862
172,1677
3192,473
772,3473
1205,3595
2118,2980
2807,3667
356,560
1232,920
128,3081
89,1043
444,903
1009,1953
2958,3528
904,1801
1676,490
1335,3840
1285,1629
1172,3554
2645,2764
2597,1139
3413,1238
992,2961
2643,3395
2088,343
93,1681
148,3786
2603,4025
1002,2320
3313,2955
2108,2873
2474,3560
596,1451
1014,97
3225,2057
2177,1281
1343,2962
2202,2876
916,1309
2701,2543
8,2769
2236,460
1423,3094
399,1658
686,3059
3445,1980
1315,586
2547,440
3544,3169
1478,1870
2193,497
3669,3596
1181,973
1452,47
1589,1669
1884,1253
1514,3191
2889,2849
919,1958
1232,1863
2212,3651
1753,941
41,3453
3339,1036
2967,3755
449,1948
3455,513
3589,591
3765,1581
137,25
1012,70
1347,2606
2545,2321
3842,1892
3724,3505
3480,2984
985,1020
2923,3051
680,3443
1887,2653
3699,3040
988,1608
1443,3583
1234,2849
3694,1824
764,3195
280,3917
869,1136
288,1027
257,2117
22,1263
685,3094
3483,3745
2715,3608
3753,2591
1098,3689
2760,2342
1631,3037
136,1575
2554,1247
3958,398
1916,777
1778,3680
327,3277
3968,748
707,2100
3188,449
2835,2460
3699,542
1251,2834
1641,1009
1664,680
2938,2101
379,2855
3331,1663
3775,1180
326,104
1326,2278
2574,871
1888,2059
3707,769
3852,1820
171,390
3121,3982
3374,4032
1415,2591
1883,526
216,3694
1767,1998
3684,2675
3098,1931
1296,1316
2285,346
2058,2804
3933,1017
571,1924
3840,1402
3375,2231
3128,1441
677,2183
3702,1194
1621,848
3311,3932
4034,15
1213,489
3905,2779
2674,2527
295,2490
3855,1799
1294,902
1215,2
1267,449
3186,1719
2284,3817
3193,2245
747,3936
1090,2048
1458,519
120,389
3673,2713
3453,3170
1978,1961
2540,3522
2504,2272
3582,1271
1576,1352
3666,3828
3058,2906
3675,1592
2915,3370
2589,3998
903,538
2496,4030
2693,755
1689,1845
510,3906
2923,3222
3122,84
2021,1010
248,363
3200,1171
3326,329
4008,2868
1193,973
2515,1695
1856,814
3528,2253
1056,169
3483,2894
97,3988
2253,3547
2773,3028
2994,2316
2461,1981
3691,1915
562,2875
2957,3694
461,3334
1276,389
3780,2644
2471,2762
320,2515
1167,1302
2743,983
630,586
610,570
426,849
2454,565
2517,3793
446,1533
930,2334
3483,215
3228,2234
786,2025
3317,3508
971,1934
1626,3788
233,2627
13,3710
458,2094
164,3256
345,3318
2458,2218
3634,571
2764,995
565,815
2930,2952
3430,1954
3196,3803
2725,2669
1846,3695
1305,3327
2762,3078
2428,357
505,2147
1503,3129
3920,1503
999,191
1602,2021
1100,3550
396,1692
2955,3588
1900,3854
3642,1423
3181,466
3777,191
1579,1614
3418,3323
3523,826
3592,2648
3478,3643
1470,391
200,1986
1839,530
3505,3558
480,639
3115,3677
1645,1657
2852,2835
2512,366
3741,1695
2267,3792
1568,2941
223,3134
137,2105
1389,1184
1186,3737
1813,216
3664,3670
1441,1604
409,2864
634,3148
1938,1977
2705,3521
1941,902
567,2640
1675,2618
2707,2621
912,1973
2775,1158
1200,3618
3468,2179
3202,2864
1001,2232
635,3793
144,2981
1528,1676
210,1669
3352,1009
2537,421
1941,3843
3177,2099
1017,2554
3049,1586
3883,3429
972,101
3843,253
439,3057
472,1393
3989,1790
2057,3022
3163,725
1994,863
449,512
1061,3298
3346,3128
3452,1139
1174,1770
1195,3548
1953,2275
3003,4012
3067,2833
1514,2107
1295,2287
1727,3623
641,3796
3841,3265
1580,454
2977,2290
3195,222
1714,2592
3410,2871
3977,3283
1848,2797
2776,3281
1352,3646
1034,3971
278,3849
2466,2504
2611,1524
443,3889
1804,2757
1574,2273
1461,97
2489,1825
2792,1415
2039,745
294,2456
1693,2431
787,2918
1444,3428
2434,641
2096,2896
1759,606
3484,3010
2656,872
3783,764
2619,2692
3813,386
2704,582
1516,1640
1825,1988
1041,584
3365,4014
2158,3043
3267,114
102,775
1744,236
2890,2570
1319,3273
3124,3608
1134,3406
1800,3499
260,3404
1322,2955
1605,329
1552,3500
2756,1830
3600,1266
1552,2321
3150,60
714,2967
779,733
3460,1668
441,2509
1275,308
1043,55
2480,466
142,2551
327,2205
271,2657
744,2562
5,3560
3971,2982
2794,2507
2838,3485
2487,1684
4030,449
1679,2324
3527,880
2569,536
1845,3406
116,190
2042,2047
1172,609
248,1557
3083,2556
1162,824
1369,412
1089,3338
2815,3929
1391,1166
1797,3206
215,825
973,3830
3821,2306
2495,1464
2827,1981
376,1298
4001,4003
3022,1770
1466,2474
3941,2352
1880,3059
3068,3347
3249,562
2172,1454
2624,3364
1576,3972
383,989
2291,2329
3480,2861
1166,1808
205,1024
376,1680
71,634
3426,3654
2908,498
340,698
2245,3543
905,3119
2237,2075
3619,3539
1283,3930
1124,1925
3093,3982
613,1032
2857,1477
1505,3520
3525,3603
3636,2201
3061,2377
750,1729
3782,1528
2303,3105
3163,2038
1328,623
3177,2898
143,3950
3608,3985
3321,1057
3138,2719
2899,1185
477,3743
718,1296
3074,2115
2874,3496
1799,2042
3349,2712
1146,794
2137,1861
932,640
3972,280
1245,3941
3570,2922
3260,3812
2010,1998
1723,2967
3996,1457
2077,3532
991,4034
368,1921
4005,3201
2539,871
795,2068
787,3311
1868,2377
576,1516
3047,1824
188,440
1600,1508
1707,1812
639,3779
435,1826
2706,3110
1358,23
1879,1804
1368,3556
3531,2665
497,3192
3180,2462
970,1266
305,757
372,498
1898,3523
3937,922
1164,1809
2697,1087
1141,1350
2602,338
2280,2190
2024,2707
3302,2534
1162,3106
175,1436
3423,232
1985,1492
3267,890
2191,937
3828,120
3949,1657
1876,1222
2117,2801
2304,1108
3704,1531
766,3493
464,3140
130,1089
464,842
2846,3245
2419,2555
2654,894
556,1859
2854,2275
536,788
404,1316
295,2454
1146,3896
2073,401
1238,1575
3555,1632
3079,2627
2686,3173
1849,3603
1800,3907
1104,702
603,3917
528,3284
3380,2323
3457,2281
3149,1226
2440,1557
3175,2635
2999,169
1307,2435
768,3029
2955,3275
545,3739
2876,4006
1878,3590
1167,223
2568,3326
477,3898
600,2458
2725,3989
3401,2081
1145,298
1285,1258
3614,3122
3870,2089
1094,2375
1041,2285
3217,1657
2001,721
2073,2951
3704,1760
695,895
2111,1717
2497,1323
806,950
2650,3254
712,582
96,1757
2821,2849
3213,3906
4006,2933
2777,31
222,3542
2706,1395
3229,3115
62,2325
886,1755
2499,437
3736,2903
774,2134
1921,2487
2975,1102
2986,1932
792,2378
2911,1019
526,2524
3409,3819
4007,1911
546,252
1327,3769
1546,986
3082,2301
2352,1175
924,3555
1343,872
1010,3287
2624,2676
3691,2324
3401,14
3086,2901
2666,2117
2517,498
2719,2021
3736,2292
3109,404
2617,3355
1858,3201
2674,864
498,480
1018,3054
787,1705
356,3075
2245,3205
2439,1969
53,515
1014,1631
4005,1261
89,68
899,2564
892,4015
508,1917
3030,3701
811,2389
284,3847
1628,1961
3799,1483
666,3249
3767,2317
3868,2870
2319,2435
57,2377
4011,1711
1114,3536
1331,3410
1142,42
802,3594
3544,3000
3254,1549
3272,391
3969,3331
53,2328
2201,3632
165,727
1949,2718
2316,2457
2361,1627
154,3222
1943,1116
3597,1807
2215,3521
3646,1152
4010,3858
201,1269
1355,1382
632,717
51,2826
3920,1966
2223,3296
3045,661
2086,3350
3621,1438
193,1987
2599,583
2946,638
2351,3328
3577,1189
697,3421
2514,3193
3171,1883
1528,2306
1445,849
3433,3774
1843,2518
3710,415
1991,719
3953,3154
1793,1243
2694,2838
1115,1621
827,3783
3928,2681
1617,3810
24,3710
3291,1864
111,1623
113,1999
4,3668
3216,3444
3267,1986
3415,476
2449,675
2349,2849
2365,3
534,1
2012,1655
256,3056
59,1884
3434,2028
1231,1393
2032,3677
2680,3475
1622,1451
3148,2978
1848,1301
2549,3929
2111,1259
3814,1322
626,1883
88,798
823,3656
873,2354
3701,1409
1231,3156
2230,2911
2192,2020
505,2933
960,2961
2249,2916
3027,135
826,2041
2163,1496
1466,3605
275,1292
1099,3850
636,1928
2306,563
2137,3152
237,2120
2320,3233
1833,3566
3845,2233
3319,3957
1467,382
3121,1571
687,1384
692,1872
3389,3801
1266,3997
2971,1735
134,2856
245,2284
2886,1968
999,2895
3586,2529
3330,2719
661,741
1253,2930
2970,1661
3138,1873
2136,3979
1213,3443
336,766
1782,2971
2031,3636
3937,451
2757,3055
2004,991
1275,3183
705,2135
3860,1095
780,2541
952,3240
3535,1514
1009,3626
2142,623
2880,2353
12,333
65,1303
3384,3052
765,1603
1051,19
1375,1023
473,2070
510,2386
1181,3411
2005,3623
1273,310
1366,2421
3251,1318
3006,2027
1617,333
796,247
2133,160
2211,2715
1410,3601
3418,1422
1513,3218
1392,2687
698,396
1928,1469
2773,2492
3099,262
277,434
2098,1066
1072,2679
3217,2624
1895,2916
3170,3236
236,794
3980,1467
255,320
2546,918
2459,2166
2332,2511
707,1972
2387,3021
2871,2864
3982,2945
1815,3939
3360,3429
2909,3202
102,1267
812,1432
677,2069
3188,1782
609,495
1004,1020
3064,2565
1482,2006
1209,3949
417,1942
723,648
217,2156
1125,2018
2577,470
3598,975
2375,766
2598,2227
2305,1706
1479,164
44,734
521,3128
2059,3964
2709,260
188,1800
2889,3685
2118,2850
1712,3706
69,4009
1397,2640
1581,1244
104,1716
569,1813
2695,3326
2489,1452
205,45
3209,602
1541,3874
1702,2529
319,3984
3819,1376
2115,1916
1551,1874
1230,3858
3908,10
1254,3011
2254,3853
1363,925
2311,1979
3808,2424
2757,2491
3177,1410
1192,3429
610,1228
3664,2642
1342,3674
1283,199
407,1985
2147,2989
3566,2319
2539,3659
1185,2671
1,368
1890,776
2830,3204
3443,148
3685,2127
2798,2874
1477,2939
3347,964
2789,3830
217,2119
2295,1428
535,1352
296,2526
5,3069
1579,891
1101,1178
3758,2816
943,3557
1353,916
1638,2871
739,1885
3756,665
3669,1573
1380,1401
128,3715
3947,3088
471,2465
3316,392
1441,4027
2203,3986
2735,3739
3050,238
3346,2083
2809,3699
442,244
2540,3931
1643,2872
996,632
1257,184
2182,467
3234,3451
626,2213
936,2369
2128,2680
3359,736
275,2849
1471,1441
850,2128
2591,3896
750,1250
3599,3872
1395,2176
1315,801
56,3139
578,1354
330,3737
2983,2832
1205,936
3099,1502
3977,2855
3269,988
3095,2197
3074,147
2627,834
381,126
858,2956
897,2614
2321,2838
2785,616
3533,1628
415,1136
3595,1794
2500,835
2185,804
387,538
86,54
232,686
105,2301
3388,2522
907,561
154,285
3774,63
2222,1645
1675,792
3570,3797
1529,319
1479,2436
433,44
2160,2626
3999,3028
1719,2570
932,42
3750,2036
274,2319
333,1315
144,894
3637,306
446,2334
1557,3903
3438,1149
3179,2046
1672,3496
3056,343
3280,2045
2177,2150
1021,3056
1016,139
2857,3034
680,728
2063,1011
2442,3429
2808,2459
1307,4
2765,299
2864,367
897,353
2278,2324
1474,3118
3252,2240
2567,351
3473,3269
2540,1721
1290,4014
2867,3324
605,3239
3106,14
2026,3550
1904,779
2935,1890
3688,568
3654,1963
3302,3548
13,3751
1704,2593
1583,2452
3320,187
2005,2246
2704,2454
1865,1826
686,2984
3156,2694
2804,544
2072,664
1490,3535
3109,2160
2014,3261
3043,3826
1305,289
1491,1441
3401,1599
1523,125
3936,2404
450,1901
935,2440
16,2804
2150,2433
3524,2464
688,1442
3367,1897
3131,200
2774,827
875,3316
3607,3270
1816,2444
1393,474
2916,1184
1541,1500
1202,1614
2569,2818
2057,451
411,2876
1363,3172
1777,2997
184,637
619,1818
231,3268
1840,1154
2013,785
3184,2696
2975,644
3964,1043
1840,1008
1765,1767
1162,3045
443,3323
2073,3890
3523,1642
3859,904
4028,2245
3919,3487
3194,641
2210,3258
1615,2376
3014,2224
714,1976
387,83
2074,1213
812,221
3511,1965
2234,2441
1179,3455
2067,369
3166,1141
286,1903
464,1186
1522,2036
2880,2829
2363,2821
2672,2164
556,2688
1298,1547
3856,206
2673,1679
3218,1429
2188,2058
1677,2212
1913,1364
545,3057
3369,3780
3202,1419
557,2421
949,2239
702,3863
2655,809
97,1421
2995,1705
3301,2134
421,2427
3341,1364
2938,2063
1893,2768
2511,34
1653,2579
1247,690
1138,2617
1512,344
1661,1094
1860,101
2073,72
1144,380
667,2291
2189,1223
1729,1453
3300,2464
440,334
3004,3646
852,3516
3496,3493
2001,1029
3163,1813
3016,688
1766,3735
890,941
900,3859
333,26
1951,1405
3177,1722
736,530
35,69
2185,1369
3140,2271
3079,1282
1154,231
410,78
2278,93
3081,1988
443,2924
2153,2943
3697,813
3047,3897
1140,1745
3668,2628
2766,1150
2815,2311
3028,3847
3081,1476
21,2117
3048,3294
3438,1529
79,2781
237,1721
3525,720
601,1491
1714,2694
581,144
3852,4002
2623,1434
1676,34
3776,756
838,1663
554,666
751,3966
3113,3995
2185,1570
2575,2226
970,1315
2923,3730
2818,822
2270,2107
3017,2390
1651,2586
1230,1469
248,735
2012,1990
2948,2946
2900,3941
1139,3700
1583,883
315,1478
629,3396
1509,3006
2997,2346
1118,1136
1044,2450
103,3359
2625,2886
3220,803
1568,2357
2904,1451
2540,1554
732,1572
978,2097
428,2454
478,70
1096,1534
4008,2784
3080,1947
758,2979
644,2214
2350,3673
762,1636
3101,2206
787,670
1575,2254
824,2640
249,3857
1849,2838
2262,652
644,421
2470,3291
2635,619
2019,4039
3591,749
940,2512
900,3708
1098,2407
3909,1885
2700,1370
2080,1027
2445,1363
2940,2203
3596,2115
165,1214
1278,764
1749,298
2846,3757
17,390
2110,2249
2789,624
952,1050
3828,934
659,1564
3694,3409
272,1566
1214,437
2388,2761
3452,2007
1274,3371
1852,771
1586,3789
1862,3099
2004,3988
2828,3534
2307,126
3,3282
2942,1004
3984,1095
806,582
1047,387
2381,3370
1514,1189
465,189
1484,1563
2751,3429
462,2726
1184,2071
3513,3457
809,2982
1326,1304
962,1893
2643,1216
825,1220
3043,2715
2395,3662
2315,3673
901,130
42,3779
649,1578
3868,1294
2787,1668
1560,3685
3389,1506
3501,2330
2119,2540
1308,2291
478,3433
3233,604
2438,1990
140,3811
536,1373
2055,730
429,4011
1212,3397
1551,3641
1454,3990
1015,2760
426,2484
1576,503
1015,1663
2475,2056
2968,3591
3410,1770
2575,2014
2591,1930
4016,2710
3689,3738
3545,3353
3359,1339
2800,3879
637,1229
3885,964
2613,681
4028,3264
3209,2850
2208,1822
3364,3076
2791,2676
2490,2055
1055,3175
1649,298
1769,957
134,671
2435,1885
171,2459
1955,3867
3337,3571
2229,1185
340,2868
2121,3762
614,756
1236,2362
1099,995
1846,2728
1179,1995
2033,293
1155,3164
882,1584
248,1788
3275,1586
2374,249
1957,3517
3364,1502
2200,2201
901,1133
2008,2409
2238,3020
3819,2913
1716,2990
2958,3845
3393,25
3825,3658
2450,429
1105,1869
3875,738
379,194
265,3182
3268,1470
1063,3525
482,3431
1816,3485
2739,3706
3341,1047
1309,3519
525,3298
2673,3714
3739,1511
3208,756
127,2358
455,1742
1340,2649
3768,2393
1868,913
1894,271
577,2305
1250,2587
3710,795
3357,2185
1654,451
1766,927
1421,2890
373,2296
1399,2171
1175,2168
1953,2136
2588,2695
2144,2833
2080,2442
3399,1216
2296,1021
33,2879
17,1471
66,1229
3810,2133
3638,3246
566,3455
4028,3087
3596,639
2984,3422
3602,2941
1701,2541
720,2162
2623,2657
3509,471
130,2878
3353,1205
1965,2507
3728,2580
794,854
1183,2214
3430,1236
1289,745
1392,1821
3149,3026
787,1890
1022,2483
2933,3120
1938,3017
341,2885
3746,307
1312,3275
2052,1854
1379,3004
739,3679
3764,1455
282,1430
3855,1812
2418,3779
2115,1081
469,2518
2726,1969
2865,2515
4020,97
2060,317
3131,2304
436,3688
3724,3074
1318,1763
1937,3773
2075,3297
3296,3513
115,3696
3455,2879
2197,1407
2576,3105
3869,1765
3156,1389
779,2878
1804,940
382,2192
3478,427
1594,459
183,2411
2776,2438
2995,2560
2591,3849
687,112
3421,2444
1221,3588
3274,2995
641,3436
400,1782
3993,3960
469,1590
987,1772
3021,2402
3008,1771
3457,2417
3348,2373
1882,1516
255,2943
3285,2810
3521,2193
527,629
145,2343
626,4038
3081,3581
3196,3392
3104,3475
1370,2619
2337,2526
392,3230
2007,906
1308,3146
1215,1788
2414,3186
149,3905
1347,1872
3605,982
3061,381
3664,1220
909,2473
2568,2053
2787,2840
1695,2887
146,3166
1454,49
1674,1314
3266,1577
2659,1520
712,3028
2142,1459
2592,1685
1388,1598
1211,3596
1415,3497
124,1130
2350,3363
1891,401
209,3148
2761,537
277,3936
880,3031
1129,1026
784,2719
3392,3307
2720,1632
3827,414
3877,3187
2198,2749
3456,2671
2354,2143
727,1974
1124,1655
3635,533
653,2588
2419,2117
950,1382
740,1308
1609,3466
175,2617
2194,3176
3392,2667
2306,3830
3048,3640
3982,2480
1112,3575
3331,3724
3246,2933
893,2243
3831,1087
461,1880
2718,1551
375,827
2591,3846
658,3023
218,1671
2884,1161
3704,3844
1347,582
959,3275
3959,1311
450,665
3127,1463
3290,279
1778,2551
64,3522
1763,1350
812,3728
3647,2160
1797,2994
47,903
2704,2975
791,1224
3889,2288
3342,2376
3037,1617
496,981
26,1221
3870,2180
3577,1655
3600,3664
1270,2986
2746,2468
1402,1634
3986,3831
353,3081
256,3803
981,3400
888,1105
2826,1999
285,1864
3015,1693
2517,3405
104,846
2629,3026
248,2237
1477,1344
1925,2583
1535,3457
670,2594
3284,217
1571,3201
1080,791
3974,3781
1677,3285
3846,1306
3251,2510
2632,2562
3263,3976
2255,1429
248,431
2056,1036
1306,3292
3858,3072
1287,1965
3240,3697
3845,2748
1828,776
2308,2420
1780,3103
2548,728
2764,1622
1120,1183
220,3330
631,186
288,2515
1807,2391
2004,3745
2384,1397
3222,754
3625,1868
994,2132
1568,1590
2752,322
1995,3912
3646,219
1957,3505
3795,2957
2613,556
1393,3760
999,3498
2667,2800
